ClientAge,ClientSex,LooksBestAge
20,F,23
21,F,23
22,F,24
23,F,25
24,F,25
25,F,26
26,F,27
27,F,28
28,F,29
29,F,29
30,F,30
31,F,31
32,F,31
33,F,32
34,F,32
35,F,34
36,F,35
37,F,36
38,F,37
39,F,38
40,F,38
41,F,38
42,F,39
43,F,39
44,F,39
45,F,40
46,F,38
47,F,39
48,F,40
49,F,45
50,F,46
20,M,20
21,M,20
22,M,21
23,M,21
24,M,21
25,M,21
26,M,22
27,M,21
28,M,20
29,M,20
30,M,20
31,M,20
32,M,20
33,M,20
34,M,20
35,M,20
36,M,20
37,M,22
38,M,20
39,M,20
40,M,21
41,M,21
42,M,20
43,M,23
44,M,21
45,M,24
46,M,20
47,M,20
48,M,23
49,M,20
50,M,22
