"Age","Headlen","Headwth","Neck","Length","Chest","Month","Sex","Weight"
19,11,5.5,16,53,26,"July","Male",110
55,16.5,9,28,67.5,45,"July","Male",374
81,15.5,8,31,72,54,"September","Male",446
115,17,10,31.5,72,49,"July","Male",378
104,15.5,6.5,22,62,35,"August","Female",166
100,13,7,21,70,41,"April","Female",220
56,15,7.5,26.5,73.5,41,"July","Male",292
51,13.5,8,27,68.5,49,"April","Male",390
57,13.5,7,20,64,38,"September","Female",204
53,12.5,6,18,58,31,"May","Female",144
68,16,9,29,73,44,"August","Male",362
8,9,4.5,13,37,19,"August","Male",64
44,12.5,4.5,10.5,63,32,"August","Female",140
32,14,5,21.5,67,37,"August","Male",210
20,11.5,5,17.5,52,29,"August","Female",105
32,13,8,21.5,59,33,"August","Male",196
45,13.5,7,24,64,39,"September","Male",234
9,9,4.5,12,36,19,"September","Female",26
21,13,6,19,59,30,"September","Male",150
177,16,9.5,30,72,48,"September","Male",466
57,12.5,5,19,57.5,32,"September","Female",125
81,13,5,20,61,33,"September","Female",132
21,13,5,17,54,28,"September","Male",120
9,10,4,13,40,23,"September","Male",70
45,16,6,24,63,42,"September","Male",250
9,10,4,13.5,43,23,"September","Male",76
33,13.5,6,22,66.5,34,"September","Male",184
57,13,5.5,17.5,60.5,31,"September","Female",116
45,13,6.5,21,60,34.5,"September","Female",182
21,14.5,5.5,20,61,34,"September","Male",180
10,9.5,4.5,16,40,26,"October","Male",95
82,13.5,6.5,28,64,48,"October","Female",356
70,14.5,6.5,26,65,48,"October","Female",316
10,11,5,17,49,29,"October","Male",124
10,11.5,5,17,47,29.5,"October","Male",116
34,13,7,21,59,35,"October","Male",180
34,16.5,6.5,27,72,44.5,"October","Male",300
34,14,5.5,24,65,39,"October","Male",232
58,13.5,6.5,21.5,63,40,"October","Female",202
58,15.5,7,28,70.5,50,"October","Male",395
11,11.5,6,16.5,48,31,"November","Male",109
23,12,6.5,19,50,38,"November","Male",178
70,15.5,7,28,76.5,55,"October","Male",476
11,9,5,15,46,27,"November","Female",62
83,14.5,7,23,61.5,44,"November","Female",236
35,13.5,8.5,23,63.5,44,"November","Male",242
16,10,4,15.5,48,26,"April","Male",90
16,10,5,15,41,26,"April","Male",94
17,11.5,5,17,53,30.5,"May","Male",144
17,11.5,5,15,52.5,28,"May","Female",76
17,11,4.5,13,46,23,"May","Female",48
8,10,4.5,10,43.5,24,"August","Female",29
83,15.5,8,30.5,75,54,"November","Male",544
