"Timestamp","sleep_time","coffee","major","gradyear","statscourses","Rbefore","excitement","birthday","emails"
"9/6/23 10:16",7,0,"Computer Science",2025,0,"No, never",6,"Not during this semester",0
"9/6/23 10:16",7,1,"Stats",2027,2,"No, never",8,"Not during this semester",0
"9/6/23 10:16",8,0,"Computer Science",2026,1,"No, never",7,"During this semester",3
"9/6/23 10:16",7,0,"Computer Science",2024,0,"Yes, a little",7,"Not during this semester",0
"9/6/23 10:16",8,1,"Biology",2027,0,"No, never",7,"Not during this semester",0
"9/6/23 10:17",7,0,"Economics",2026,0,"Yes, a little",7,"During this semester",1
"9/6/23 10:17",7,0,"Economics",2026,1,"Yes, a little",6,"Not during this semester",0
"9/6/23 10:17",7,2,"Psychology",2024,1,"Yes, a little",6,"Not during this semester",1
"9/6/23 10:17",7,1,"Biochemistry",2025,0,"Yes, a little",5,"Not during this semester",3506
"9/6/23 10:18",7,1,"Computer Science",2026,1,"No, never",7,"Not during this semester",1353
"9/6/23 10:18",0,0,"Data Science",2026,0,"Yes, a little",8,"Not during this semester",1489
"9/6/23 10:18",6,0,"Geology",2025,0,"Yes, a little",6,"Not during this semester",5
"9/6/23 10:19",6,1,"Psychology",2025,1,"Yes, a little",7,"During this semester",2239
"9/6/23 10:19",6,3,"Biology",2025,0,"No, never",6,"During this semester",5262
"9/6/23 10:19",8,0,"Neuroscience",2026,0,"Yes, a little",3,"During this semester",10
"9/6/23 10:19",7,1,"Biology",2025,0,"No, never",4,"Not during this semester",3696
"9/6/23 10:19",8,0,"Neuroscience",2027,1,"No, never",6,"During this semester",13
"9/6/23 10:19",5,0,"Geology",2026,0,"No, never",6,"Not during this semester",394
"9/6/23 10:20",8,0,"Spanish",2026,0,"No, never",7,"Not during this semester",30
"9/6/23 10:20",8,0,"Economics",2026,1,"Yes, a little",6,"During this semester",4
"9/6/23 10:20",6,0,"Biology",2024,0,"Yes, a little",5,"During this semester",1302
"9/6/23 10:21",8.5,1,"Political Science",2026,0,"No, never",8,"Not during this semester",160
"9/6/23 10:22",7,0,"Physics",2025,0,"Yes, a little",8,"Not during this semester",6
"9/6/23 11:25",7,1,"Computer Science",2025,0,"Yes, a little",8,"During this semester",7
"9/6/23 11:26",8,0,"Creative Writing",2025,2,"Yes, a little",6,"Not during this semester",26
"9/6/23 11:26",7.5,0,"Economics",2026,0,"Yes, a little",5,"Not during this semester",45
"9/6/23 11:26",7,0,"Math",2025,0,"Yes, a lot",5,"Not during this semester",4820
"9/6/23 11:26",8,0,"Economics",2026,0,"Yes, a little",5,"Not during this semester",5569
"9/6/23 11:26",8.5,0,"Economics",2026,1,"Yes, a lot",7,"Not during this semester",0
"9/6/23 11:27",7,0,"Psychology",2025,1,"Yes, a little",7,"During this semester",4
"9/6/23 11:27",7,0,"English Lit",2024,1,"Yes, a little",7,"Not during this semester",5
"9/6/23 11:27",7.5,0,"American Studies",2025,1,"No, never",2,"Not during this semester",806
"9/6/23 11:27",7.5,0.5,"Computer Science",2027,0,"No, never",8,"Not during this semester",100
"9/6/23 11:27",7,0,"Biology",2026,0,"No, never",3,"During this semester",22
"9/6/23 11:27",7,0,"Physics",2025,0,"No, never",7,"Not during this semester",2090
"9/6/23 11:28",8,0,"Economics",2027,1,"No, never",6,"Not during this semester",46228
"9/6/23 11:28",7.5,0,"Economics",2027,0,"No, never",8,"Not during this semester",6
"9/6/23 11:29",8,1,"International Studies",2025,0,"No, never",2,"Not during this semester",5
"9/6/23 11:29",6,0,"Economics",2026,0,"Yes, a little",5,"During this semester",0
"9/6/23 11:29",7,1,"Biology",2025,0,"Yes, a little",5,"Not during this semester",2
"9/6/23 11:29",8,1,"Environmental Studies",2026,1,"No, never",7,"Not during this semester",4909
"9/6/23 11:29",7.5,1,"Economics",2026,1,"No, never",8,"Not during this semester",1123
"9/6/23 11:29",8.5,0,"Political Science",2026,2,"Yes, a little",7,"Not during this semester",0
"9/6/23 11:30",8,0,"Computer Science",2024,0,"No, never",4,"During this semester",4790
"9/6/23 11:30",10,0,"Math",2025,0,"Yes, a lot",5,"During this semester",7728
"9/6/23 11:31",7,0,"Neuroscience",2027,0,"No, never",6,"Not during this semester",1000
"9/6/23 12:31",8,0,"Political Science",2026,1,"Yes, a little",7,"Not during this semester",24
